ID,Nombre,Fecha,Precio
1,Programando ando,Octubre 7,
2,IA un nuevo mundo por explorar,Abril 09,
3,Programacion en JAVA,Septiembre 05,
4,Ciberseguridad,Agosto 10,
5,Programacion en Python,Septiembre 06,
6,IA y etica,Agosto 18,
7,Algoritmos de optimizacion,Noviembre 12,
8,Machine Learning aplicado,Diciembre 02,
9,Seguridad en Redes,Octubre 15,
10,Introduccion a la Robotica,Octubre 22,
11,Desarrollo Web con Python,Noviembre 06,
12,Criptografia moderna,Diciembre 08,
13,Inteligencia Artificial en videojuegos,Enero 18,
14,Desarrollo de Apps moviles,Febrero 10,
15,etica en la Ciberseguridad,Marzo 01,
16,Procesamiento de Lenguaje Natural,Abril 20,
